Name,FIPS,State,Population,Poverty
Oliver County,38065,ND,1842,147
Stutsman County,38093,ND,19410,2352
Ramsey County,38071,ND,11124,1389
Foster County,38031,ND,3171,229
Griggs County,38039,ND,2312,182
Sheridan County,38083,ND,1391,172
Slope County,38087,ND,742,56
Union County,39159,OH,53341,3143
Pike County,39131,OH,27625,5161
Paulding County,39125,OH,18656,1843
Hamilton County,39061,OH,795895,125456
Franklin County,39049,OH,1260187,197950
Marion County,39101,OH,59343,8790
Tuscarawas County,39157,OH,90912,11645
Wayne County,39169,OH,111821,12618
Brown County,39015,OH,42846,6557
Butler County,39017,OH,367360,46018
Harrison County,39067,OH,14876,2380
Knox County,39083,OH,57946,7593
Licking County,39089,OH,169176,17750
Richland County,39139,OH,113445,15321
Vinton County,39163,OH,12901,2447
Carroll County,39019,OH,26930,3306
Hancock County,39063,OH,73597,7937
Clermont County,39025,OH,202428,18162
Fairfield County,39045,OH,151338,13930
Defiance County,39039,OH,37420,3809
Highland County,39071,OH,42353,8213
Henry County,39069,OH,26707,2246
Jefferson County,39081,OH,64077,11207
Portage County,39133,OH,154901,19808
Putnam County,39137,OH,33499,2557
Belmont County,39013,OH,64062,7900
Clinton County,39027,OH,40554,6002
Fayette County,39047,OH,28101,4551
